p1,p2,p3
947,1255,1084
1201,1250,888
1201,2480,1250
867,169,1033
2351,951,1250
2480,2351,1250
2638,1537,2637
1537,2638,575
2638,2639,575
1537,1669,2637
1669,2636,2637
2636,1669,892
1669,1537,695
272,760,816
1179,1940,789
951,1573,2303
1989,1573,951
2278,1794,1750
1794,2278,276
484,1505,582
1505,484,1752
582,1505,1232
1505,1527,1232
1527,1505,1752
1406,1644,2160
1794,1644,1750
2436,1644,2331
1644,1406,2331
1614,2436,1608
1614,1644,2436
806,2248,466
2248,53,466
53,2248,57
2248,790,57
1073,729,2451
1624,1009,941
2486,98,1811
1092,290,10
256,1092,10
1092,256,2056
1670,290,1587
300,1516,1271
300,1133,2377
1133,300,1271
1415,1882,1432
517,1415,1432
1275,14,1433
1275,761,1126
2197,1275,1433
761,1275,2197
2397,1275,1126
1275,2397,14
1433,393,2489
1976,2337,1539
784,1976,1539
1976,674,2582
2197,1976,784
674,1976,2197
2585,2586,2485
2584,2585,2485
2180,1732,1539
58,2180,1539
1968,2337,2485
1968,58,2337
1649,1968,2485
1732,991,784
991,761,784
761,809,1126
809,991,2014
991,809,761
2601,2469,2600
2469,2601,2169
1718,1124,2605
658,25,2596
25,658,1109
576,2086,2426
2086,2469,2426
658,2086,1109
2258,1979,780
973,0,610
1650,973,610
0,973,1766
973,1650,1766
767,55,1509
495,55,664
55,767,664
2574,1442,70
2573,2574,70
1442,2574,2575
1405,473,2228
473,1211,2228
473,1704,1945
1704,473,1405
1541,1111,1510
1105,1111,1541
1111,1105,1434
1211,1111,1434
2566,530,2565
2479,1361,1362
1367,1361,1600
1362,1361,1367
516,2018,74
948,2555,2556
2379,2081,577
880,287,577
2081,880,577
880,2081,948
459,880,898
880,459,287
360,459,1857
287,360,74
459,360,287
1575,182,1336
1575,1457,182
307,1575,647
1867,1457,2559
2560,1867,2559
1457,461,1974
461,2560,2561
1867,461,1457
461,1867,2560
461,910,1974
910,461,2561
2558,1913,2557
1579,1913,2559
1913,2558,2559
898,612,647
612,307,647
310,1100,1672
2007,511,1672
1100,2007,1672
2007,1100,279
857,2007,1404
1782,1855,1538
1855,1782,2323
165,310,2458
165,1100,310
1824,2458,1982
1812,1824,1982
1824,165,2458
165,1824,1866
1824,1812,106
1812,2001,106
2076,1413,2349
551,1862,109
1862,2414,109
2414,1862,2211
919,551,109
1902,919,109
9,919,1902
982,919,9
1637,2465,2261
2465,1637,358
358,1637,1975
2465,158,2261
158,2465,697
1439,158,697
2147,181,794
181,2147,522
1536,417,1529
976,1536,1982
1536,976,417
310,2447,2458
1782,234,2323
1171,1548,1580
1171,562,1548
562,876,1548
176,1140,1580
1402,1140,176
1140,1402,1903
1916,399,1674
2139,42,2272
1916,2139,2272
1916,2187,1259
2187,1916,1674
2187,610,1259
2187,1057,610
191,1571,610
1057,191,610
1571,191,498
498,191,363
510,2290,1892
988,2118,1586
2118,361,1400
1709,2118,1400
1720,1298,1892
1298,1720,802
824,441,1683
441,1185,1683
933,2295,1791
1791,37,1677
37,1185,1677
37,2243,1185
2295,37,1791
37,2295,2243
1671,1495,1325
269,1671,671
1671,1220,671
1671,1422,1220
2170,1671,269
1671,2170,1495
1495,2140,1325
768,402,1793
402,67,1600
1793,402,1600
1838,1221,739
1221,2277,739
1221,1838,2178
1221,2178,1289
956,1221,1289
2277,1221,956
2064,434,829
434,1838,323
434,2064,1838
696,2116,323
2566,1593,530
1593,2566,2567
1704,1593,1945
1945,1593,2568
1593,2567,2568
1313,2276,487
1313,1229,2190
1313,487,1229
2276,1313,2401
767,949,664
42,949,7
477,949,42
2058,235,662
235,767,662
235,949,767
84,2058,1477
84,942,1413
84,235,2058
422,902,1390
203,902,1849
902,203,1390
436,422,1390
902,185,1849
185,902,435
883,970,981
1368,339,2301
1396,339,1368
339,1765,2301
339,1396,970
339,883,1765
883,339,970
2202,367,2196
367,521,2196
521,367,439
935,367,2202
439,1135,2067
367,1135,439
1135,367,935
1713,2199,1368
554,1713,1368
2199,1713,1499
860,1281,1195
2067,860,1195
777,860,2067
2085,935,2202
2085,2202,2196
794,2454,1682
1007,2454,1005
1376,731,2618
493,979,2157
1149,1285,929
2473,1285,1149
2621,1149,929
2621,2622,1149
1149,2623,1904
2623,1392,1904
1066,249,354
1066,578,249
1458,2291,2089
2291,1458,1387
1582,1458,354
2402,2630,2631
2402,1179,2630
1940,2402,2631
2402,1940,1179
1209,1814,2630
1179,1209,2630
1814,1209,789
1209,1179,789
2629,1261,2628
1261,2629,2630
2626,2627,249
2627,2060,249
2060,2627,2628
1217,629,524
1387,1217,524
1930,1471,1519
1471,2340,1519
272,1471,598
1640,526,28
793,1640,28
526,683,28
277,683,526
2255,277,1207
2255,853,277
1249,387,2424
1691,387,2106
2424,1691,2296
387,1691,2424
