p1,p2,p3
2217,1408,2209
2733,275,2732
1408,2227,2209
1031,2227,1408
1303,2317,329
1303,2233,2317
1059,1303,329
18,96,1782
2488,18,1782
96,18,68
18,2488,68
2235,2372,21
2372,1843,1086
1206,973,219
2721,717,1884
534,1564,1862
510,1564,2577
510,2345,2261
1564,510,2261
2103,2576,2577
2103,1335,2576
1564,2103,2577
534,2103,1564
1335,2103,1232
346,2710,2711
1558,2713,2714
767,346,2711
1558,767,2711
767,1558,2097
1653,767,2097
767,2710,346
2715,1519,2714
1519,2715,2716
1018,1431,2284
1431,1018,96
1018,2137,96
2275,2705,2706
94,2275,2706
2275,94,1252
406,94,2708
94,406,1252
230,1493,2097
2705,1244,2704
1244,2703,2704
1244,865,2703
1244,2139,865
59,406,2098
865,2108,1475
2139,2108,865
1954,2108,1583
2371,1519,2716
937,541,97
1770,1311,63
182,1311,1770
2122,1311,37
1311,182,37
2359,1188,114
1316,2359,114
1812,2359,2611
2359,1316,2611
1998,1063,1731
1063,1998,957
2330,321,979
321,2330,2204
67,2330,979
1010,321,2204
885,1010,367
1010,2204,367
645,530,2315
645,1696,254
1590,516,1606
516,2106,1606
2106,516,885
1935,287,2393
287,555,2393
2296,1498,565
494,1651,1064
494,1138,2449
1651,494,2449
2113,2666,115
2662,2026,2661
1675,836,1527
1459,178,2402
741,2101,1270
2101,741,2431
2861,2421,2860
741,2110,1482
1609,741,1270
1609,553,295
553,1609,1692
852,1266,840
2421,700,2860
700,2421,1368
700,2859,2860
2859,700,900
2811,1286,2810
1921,2811,2810
1286,2811,1288
2811,1921,1288
859,1023,1571
2085,2812,1288
1921,2085,1288
2492,515,1196
1314,812,722
1469,183,2011
1412,1469,1601
1412,183,1469
183,1412,1798
2483,1469,2011
1708,2483,2018
2483,1708,612
1469,1325,1601
2483,1325,1469
1325,2483,612
2018,286,811
286,100,811
2483,286,2018
286,2483,827
2843,1247,1980
1962,2656,526
476,1531,2408
374,476,2408
213,1531,2306
282,374,762
1957,1722,764
1957,355,1722
355,1957,1407
567,1479,100
567,490,1479
550,1197,1790
1197,550,231
1577,80,285
522,1577,1453
80,1210,550
231,1210,522
550,1210,231
1210,1577,522
1577,1210,80
270,290,1722
892,450,1820
1545,892,1436
892,1545,450
1680,108,1953
108,1680,605
2460,1007,342
1869,1397,1307
2460,1869,1007
1869,2460,1397
1680,107,1920
107,1680,1953
2408,1524,762
1524,1127,762
2358,75,2331
2358,911,1209
75,2358,1209
887,1177,794
2025,1675,1527
2025,1217,1675
1992,190,1085
177,2236,545
268,1899,170
2236,2126,545
1234,1740,1067
2901,1234,1067
1234,525,1740
1234,1106,525
1486,2901,1171
1486,1234,2901
1234,1486,1106
1486,1726,1106
1726,1486,2379
2262,1730,458
2204,1327,367
1327,1559,367
1559,1327,1025
776,1751,2046
1751,1433,2046
2140,2348,688
1433,940,1287
940,2140,1287
1454,2160,50
2160,1578,50
1287,2160,2046
1578,2160,1287
1992,2340,190
2141,2282,1627
2282,2141,1603
1304,2282,1603
363,2282,1304
2141,922,495
1970,922,2141
2678,1941,2677
2679,2678,668
1922,1389,668
2678,1922,668
1389,1922,2411
2136,1706,979
449,737,587
737,449,1443
1678,73,1603
73,2485,1603
2485,1885,1603
1885,736,2493
736,1885,2302
1885,2485,2302
1885,1511,1603
1511,1885,2493
44,60,1994
60,44,344
1051,1109,495
1109,1051,1652
463,67,2315
463,2330,67
1006,55,2315
67,1006,2315
1006,67,1652
1051,1006,1652
1006,1051,495
1877,950,188
1074,1877,413
1074,1955,1877
880,1978,413
772,1955,2412
1955,772,1877
950,2186,55
2186,950,1877
1475,56,2700
56,2899,2700
631,1036,606
2874,421,2873
319,1465,1736
1695,1480,478
1480,1695,315
2182,1695,478
1181,1530,315
1181,1142,1855
1530,1181,1485
1677,2303,1888
2872,171,728
171,2872,2873
430,528,728
1364,638,117
1671,1609,1270
1900,1733,1717
1592,268,170
1681,1592,1999
1592,1681,268
2376,1387,1071
1387,1061,1071
1550,1387,1829
1061,1387,1550
2507,1681,1999
630,340,2045
1068,630,2045
630,1068,680
2466,1068,2045
1258,2466,2045
2466,1258,1674
1095,280,340
1095,704,2637
704,1095,340
1057,2489,1436
892,1057,1436
80,532,1934
532,80,550
2048,550,1972
2048,532,550
352,2048,1972
352,579,1378
579,352,1972
733,954,574
1746,284,435
284,1746,930
930,1746,1248
1746,761,1248
2002,2597,2598
2597,2002,91
2596,2597,91
212,2222,14
182,2222,37
212,770,1673
1008,1249,1534
1008,842,1611
842,1008,1441
313,706,2179
109,313,2179
